Species,Region_name,alive - no,alive - yes,dead - no,dead - yes,dead_m - yes,missing - yes,dead_m - no,missing - no,total,prop,value
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_surv_pred,0.05555555555555555
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_surv_nopred,0.8611111111111112
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_dead_pred,0
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_dead_nopred,0.08333333333333333
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_surv_pred,0.7368421052631579
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_surv_nopred,0
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_dead_pred,0.23684210526315788
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_dead_nopred,0.02631578947368421
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_surv_pred,0.6944444444444444
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_surv_nopred,0.1111111111111111
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_dead_pred,0.19444444444444445
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_dead_nopred,0
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_surv_pred,0.8055555555555556
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_surv_nopred,0.08333333333333333
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_dead_pred,0.08333333333333333
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_dead_nopred,0.027777777777777776
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_surv_pred,0.7692307692307693
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_surv_nopred,0.23076923076923078
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_dead_pred,0
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_dead_nopred,0
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_surv_pred,0.5526315789473685
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_surv_nopred,0.2631578947368421
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_dead_pred,0.10526315789473684
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_dead_nopred,0.05263157894736842
O. faveolata,Martin/Palm Beach County,70,12,16,1,0,0,5,1,105,prop_surv_pred,0.11428571428571428
O. faveolata,Martin/Palm Beach County,70,12,16,1,0,0,5,1,105,prop_surv_nopred,0.6666666666666666
O. faveolata,Martin/Palm Beach County,70,12,16,1,0,0,5,1,105,prop_dead_pred,0.009523809523809525
O. faveolata,Martin/Palm Beach County,70,12,16,1,0,0,5,1,105,prop_dead_nopred,0.2
O. faveolata,Broward County,0,83,0,22,5,1,0,0,111,prop_surv_pred,0.7477477477477478
O. faveolata,Broward County,0,83,0,22,5,1,0,0,111,prop_surv_nopred,0
O. faveolata,Broward County,0,83,0,22,5,1,0,0,111,prop_dead_pred,0.24324324324324326
O. faveolata,Broward County,0,83,0,22,5,1,0,0,111,prop_dead_nopred,0
O. faveolata,Miami-Dade County,4,76,4,18,0,0,0,0,102,prop_surv_pred,0.7450980392156863
O. faveolata,Miami-Dade County,4,76,4,18,0,0,0,0,102,prop_surv_nopred,0.0392156862745098
O. faveolata,Miami-Dade County,4,76,4,18,0,0,0,0,102,prop_dead_pred,0.17647058823529413
O. faveolata,Miami-Dade County,4,76,4,18,0,0,0,0,102,prop_dead_nopred,0.0392156862745098
O. faveolata,Monroe County (Upper Keys),15,72,3,16,2,0,0,0,108,prop_surv_pred,0.6666666666666666
O. faveolata,Monroe County (Upper Keys),15,72,3,16,2,0,0,0,108,prop_surv_nopred,0.1388888888888889
O. faveolata,Monroe County (Upper Keys),15,72,3,16,2,0,0,0,108,prop_dead_pred,0.16666666666666666
O. faveolata,Monroe County (Upper Keys),15,72,3,16,2,0,0,0,108,prop_dead_nopred,0.027777777777777776
O. faveolata,Monroe County (Middle Keys),17,74,3,11,0,0,0,0,105,prop_surv_pred,0.7047619047619048
O. faveolata,Monroe County (Middle Keys),17,74,3,11,0,0,0,0,105,prop_surv_nopred,0.1619047619047619
O. faveolata,Monroe County (Middle Keys),17,74,3,11,0,0,0,0,105,prop_dead_pred,0.10476190476190476
O. faveolata,Monroe County (Middle Keys),17,74,3,11,0,0,0,0,105,prop_dead_nopred,0.02857142857142857
O. faveolata,Monroe County (Lower Keys),35,47,10,19,1,1,0,0,113,prop_surv_pred,0.415929203539823
O. faveolata,Monroe County (Lower Keys),35,47,10,19,1,1,0,0,113,prop_surv_nopred,0.30973451327433627
O. faveolata,Monroe County (Lower Keys),35,47,10,19,1,1,0,0,113,prop_dead_pred,0.17699115044247787
O. faveolata,Monroe County (Lower Keys),35,47,10,19,1,1,0,0,113,prop_dead_nopred,0.08849557522123894
P. clivosa,Martin/Palm Beach County,26,2,15,2,0,0,0,0,45,prop_surv_pred,0.044444444444444446
P. clivosa,Martin/Palm Beach County,26,2,15,2,0,0,0,0,45,prop_surv_nopred,0.5777777777777777
P. clivosa,Martin/Palm Beach County,26,2,15,2,0,0,0,0,45,prop_dead_pred,0.044444444444444446
P. clivosa,Martin/Palm Beach County,26,2,15,2,0,0,0,0,45,prop_dead_nopred,0.3333333333333333
P. clivosa,Broward County,0,33,1,8,1,0,2,0,45,prop_surv_pred,0.7333333333333333
P. clivosa,Broward County,0,33,1,8,1,0,2,0,45,prop_surv_nopred,0
P. clivosa,Broward County,0,33,1,8,1,0,2,0,45,prop_dead_pred,0.2
P. clivosa,Broward County,0,33,1,8,1,0,2,0,45,prop_dead_nopred,0.06666666666666667
P. clivosa,Miami-Dade County,2,37,0,7,1,0,0,0,47,prop_surv_pred,0.7872340425531915
P. clivosa,Miami-Dade County,2,37,0,7,1,0,0,0,47,prop_surv_nopred,0.0425531914893617
P. clivosa,Miami-Dade County,2,37,0,7,1,0,0,0,47,prop_dead_pred,0.1702127659574468
P. clivosa,Miami-Dade County,2,37,0,7,1,0,0,0,47,prop_dead_nopred,0
P. clivosa,Monroe County (Upper Keys),7,24,4,8,0,0,0,0,43,prop_surv_pred,0.5581395348837209
P. clivosa,Monroe County (Upper Keys),7,24,4,8,0,0,0,0,43,prop_surv_nopred,0.16279069767441862
P. clivosa,Monroe County (Upper Keys),7,24,4,8,0,0,0,0,43,prop_dead_pred,0.18604651162790697
P. clivosa,Monroe County (Upper Keys),7,24,4,8,0,0,0,0,43,prop_dead_nopred,0.09302325581395349
P. clivosa,Monroe County (Middle Keys),5,28,1,9,0,0,0,0,43,prop_surv_pred,0.6511627906976745
P. clivosa,Monroe County (Middle Keys),5,28,1,9,0,0,0,0,43,prop_surv_nopred,0.11627906976744186
P. clivosa,Monroe County (Middle Keys),5,28,1,9,0,0,0,0,43,prop_dead_pred,0.20930232558139536
P. clivosa,Monroe County (Middle Keys),5,28,1,9,0,0,0,0,43,prop_dead_nopred,0.023255813953488372
P. clivosa,Monroe County (Lower Keys),15,11,8,8,0,0,0,0,42,prop_surv_pred,0.2619047619047619
P. clivosa,Monroe County (Lower Keys),15,11,8,8,0,0,0,0,42,prop_surv_nopred,0.35714285714285715
P. clivosa,Monroe County (Lower Keys),15,11,8,8,0,0,0,0,42,prop_dead_pred,0.19047619047619047
P. clivosa,Monroe County (Lower Keys),15,11,8,8,0,0,0,0,42,prop_dead_nopred,0.19047619047619047
